SO_2017_06_11_Instance_30603,"[['360'], ['371'], 'genetically', 'SO:0000704', 'gene', '16255782_0']"
SO_2017_06_11_Instance_30605,"[['1043'], ['1081'], 'transcription factor recognition sites', 'SO:0000235', 'TF_binding_site', '16255782_4']"
SO_2017_06_11_Instance_31055,"[['4223'], ['4261'], 'transcription factor recognition sites', 'SO:0000235', 'TF_binding_site', '16255782_23']"
SO_2017_06_11_Instance_31511,"[['4641'], ['4679'], 'transcription factor recognition sites', 'SO:0000235', 'TF_binding_site', '16255782_25']"
SO_2017_06_11_Instance_32589,"[['10049'], ['10086'], 'transcription factor recognition site', 'SO:0000235', 'TF_binding_site', '16255782_54']"
SO_2017_06_11_Instance_32591,"[['14709'], ['14725'], 'recognition site', 'SO:0000409', 'binding_site', '16255782_90']"
SO_2017_06_11_Instance_32593,"[['14751'], ['14767'], 'recognition site', 'SO:0000409', 'binding_site', '16255782_90']"
SO_2017_06_11_Instance_32595,"[['15133'], ['15149'], 'recognition site', 'SO:0000409', 'binding_site', '16255782_92']"
SO_2017_06_11_Instance_39167,"[['9559'], ['9596'], 'Transcription factor recognition site', 'SO:0000235', 'TF_binding_site', '16255782_53']"
SO_2017_06_11_Instance_39169,"[['10160', '10173'], ['10169', '10194'], 'sites for ... transcription factors', 'SO:0000235', 'TF_binding_site', '16255782_54']"
SO_2017_06_11_Instance_54115,"[['70'], ['75'], 'genes', 'SO:0000704', 'gene', '16255782_0']"
SO_2017_06_11_Instance_54117,"[['428'], ['433'], 'genes', 'SO:0000704', 'gene', '16255782_1']"
SO_2017_06_11_Instance_54119,"[['444'], ['454'], 'transcript', 'SO:0000673', 'transcript', '16255782_1']"
SO_2017_06_11_Instance_54121,"[['618'], ['628'], 'transcript', 'SO:0000673', 'transcript', '16255782_2']"
SO_2017_06_11_Instance_54123,"[['669'], ['674'], 'genes', 'SO:0000704', 'gene', '16255782_2']"
SO_2017_06_11_Instance_54125,"[['714'], ['719'], 'genes', 'SO:0000704', 'gene', '16255782_2']"
SO_2017_06_11_Instance_54127,"[['786'], ['791'], 'genes', 'SO:0000704', 'gene', '16255782_3']"
SO_2017_06_11_Instance_54129,"[['1115'], ['1120'], 'genes', 'SO:0000704', 'gene', '16255782_4']"
SO_2017_06_11_Instance_54133,"[['1182'], ['1192'], 'transcript', 'SO:0000673', 'transcript', '16255782_5']"
SO_2017_06_11_Instance_54135,"[['1301'], ['1306'], 'genes', 'SO:0000704', 'gene', '16255782_5']"
SO_2017_06_11_Instance_54137,"[['1530'], ['1535'], 'genes', 'SO:0000704', 'gene', '16255782_6']"
SO_2017_06_11_Instance_54139,"[['1713'], ['1718'], 'genes', 'SO:0000704', 'gene', '16255782_7']"
SO_2017_06_11_Instance_54141,"[['1880'], ['1885'], 'genes', 'SO:0000704', 'gene', '16255782_8']"
SO_2017_06_11_Instance_54143,"[['2256'], ['2261'], 'genes', 'SO:0000704', 'gene', '16255782_10']"
SO_2017_06_11_Instance_54145,"[['2432'], ['2437'], 'genes', 'SO:0000704', 'gene', '16255782_11']"
