	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	15320950	15320950_0	0	306	Loss	NNP	0	4	O	[None]	[None]	[None]
1	15320950	15320950_0	0	306	of	IN	5	7	O	[None]	[None]	[None]
2	15320950	15320950_0	0	306	KCNJ10	NNP	8	14	O	[None]	[None]	[None]
3	15320950	15320950_0	0	306	protein	FW	15	22	O	[None]	[None]	[None]
4	15320950	15320950_0	0	306	expression	NN	23	33	O	[None]	[None]	[None]
5	15320950	15320950_0	0	306	abolishes	NNS	34	43	O	[None]	[None]	[None]
6	15320950	15320950_0	0	306	endocochlear	VBP	44	56	O	[None]	[None]	[None]
7	15320950	15320950_0	0	306	potential	JJ	57	66	O	[None]	[None]	[None]
8	15320950	15320950_0	0	306	and	CC	67	70	O	[None]	[None]	[None]
9	15320950	15320950_0	0	306	causes	VBZ	71	77	O	[None]	[None]	[None]
10	15320950	15320950_0	0	306	deafness	NN	78	86	O	[None]	[None]	[None]
11	15320950	15320950_0	0	306	in	IN	87	89	O	[None]	[None]	[None]
12	15320950	15320950_0	0	306	Pendred	NNP	90	97	O	[None]	[None]	[None]
13	15320950	15320950_0	0	306	syndrome	NN	98	106	O	[None]	[None]	[None]
14	15320950	15320950_0	0	306	mouse	NN	107	112	B	['organism_Instance_29848']	['NCBITaxon:10088']	['Mus']
15	15320950	15320950_0	0	306	model	NN	113	118	O	[None]	[None]	[None]
16	15320950	15320950_0	0	306	Abstract	NNP	120	128	O	[None]	[None]	[None]
17	15320950	15320950_0	0	306	Background	NNP	130	140	O	[None]	[None]	[None]
18	15320950	15320950_0	0	306	Pendred	NNP	142	149	O	[None]	[None]	[None]
19	15320950	15320950_0	0	306	syndrome	NN	150	158	O	[None]	[None]	[None]
20	15320950	15320950_0	0	306	,	,	158	159	O	[None]	[None]	[None]
21	15320950	15320950_0	0	306	a	DT	160	161	O	[None]	[None]	[None]
22	15320950	15320950_0	0	306	common	JJ	162	168	O	[None]	[None]	[None]
23	15320950	15320950_0	0	306	autosomal	JJ	169	178	O	[None]	[None]	[None]
24	15320950	15320950_0	0	306	-	:	178	179	O	[None]	[None]	[None]
25	15320950	15320950_0	0	306	recessive	JJ	179	188	O	[None]	[None]	[None]
26	15320950	15320950_0	0	306	disorder	NN	189	197	O	[None]	[None]	[None]
27	15320950	15320950_0	0	306	characterized	VBN	198	211	O	[None]	[None]	[None]
28	15320950	15320950_0	0	306	by	IN	212	214	O	[None]	[None]	[None]
29	15320950	15320950_0	0	306	congenital	JJ	215	225	O	[None]	[None]	[None]
30	15320950	15320950_0	0	306	deafness	NN	226	234	O	[None]	[None]	[None]
31	15320950	15320950_0	0	306	and	CC	235	238	O	[None]	[None]	[None]
32	15320950	15320950_0	0	306	goiter	NN	239	245	O	[None]	[None]	[None]
33	15320950	15320950_0	0	306	,	,	245	246	O	[None]	[None]	[None]
34	15320950	15320950_0	0	306	is	VBZ	247	249	O	[None]	[None]	[None]
35	15320950	15320950_0	0	306	caused	VBN	250	256	O	[None]	[None]	[None]
36	15320950	15320950_0	0	306	by	IN	257	259	O	[None]	[None]	[None]
37	15320950	15320950_0	0	306	mutations	NNS	260	269	O	[None]	[None]	[None]
38	15320950	15320950_0	0	306	of	IN	270	272	O	[None]	[None]	[None]
39	15320950	15320950_0	0	306	SLC26A4	NNP	273	280	O	[None]	[None]	[None]
40	15320950	15320950_0	0	306	,	,	280	281	O	[None]	[None]	[None]
41	15320950	15320950_0	0	306	which	WDT	282	287	O	[None]	[None]	[None]
42	15320950	15320950_0	0	306	codes	VBZ	288	293	O	[None]	[None]	[None]
43	15320950	15320950_0	0	306	for	IN	294	297	O	[None]	[None]	[None]
44	15320950	15320950_0	0	306	pendrin	NN	298	305	O	[None]	[None]	[None]
45	15320950	15320950_0	0	306	.	.	305	306	O	[None]	[None]	[None]
46	15320950	15320950_1	307	448	We	PRP	307	309	O	[None]	[None]	[None]
47	15320950	15320950_1	307	448	investigated	VBD	310	322	O	[None]	[None]	[None]
48	15320950	15320950_1	307	448	the	DT	323	326	O	[None]	[None]	[None]
49	15320950	15320950_1	307	448	relationship	NN	327	339	O	[None]	[None]	[None]
50	15320950	15320950_1	307	448	between	IN	340	347	O	[None]	[None]	[None]
51	15320950	15320950_1	307	448	pendrin	NN	348	355	O	[None]	[None]	[None]
52	15320950	15320950_1	307	448	and	CC	356	359	O	[None]	[None]	[None]
53	15320950	15320950_1	307	448	deafness	NN	360	368	O	[None]	[None]	[None]
54	15320950	15320950_1	307	448	using	VBG	369	374	O	[None]	[None]	[None]
55	15320950	15320950_1	307	448	mice	NN	375	379	B	['organism_Instance_29852']	['NCBITaxon:10088']	['Mus']
56	15320950	15320950_1	307	448	that	WDT	380	384	O	[None]	[None]	[None]
57	15320950	15320950_1	307	448	have	VBP	385	389	O	[None]	[None]	[None]
58	15320950	15320950_1	307	448	(	(	390	391	O	[None]	[None]	[None]
