	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	15314659	15314659_0	0	250	Spontaneous	JJ	0	11	['O']	[None]	[None]	[None]
1	15314659	15314659_0	0	250	Autoimmunity	NNP	12	24	['O']	[None]	[None]	[None]
2	15314659	15314659_0	0	250	in	IN	25	27	['O']	[None]	[None]	[None]
3	15314659	15314659_0	0	250	129	CD	28	31	['O']	[None]	[None]	[None]
4	15314659	15314659_0	0	250	and	CC	32	35	['O']	[None]	[None]	[None]
5	15314659	15314659_0	0	250	C57BL	NNP	36	41	['O']	[None]	[None]	[None]
6	15314659	15314659_0	0	250	/	NNP	41	42	['O']	[None]	[None]	[None]
7	15314659	15314659_0	0	250	6	CD	42	43	['O']	[None]	[None]	[None]
8	15314659	15314659_0	0	250	Mice	NNP	44	48	['O']	[None]	[None]	[None]
9	15314659	15314659_0	0	250	—	NNP	48	49	['O']	[None]	[None]	[None]
10	15314659	15314659_0	0	250	Implications	NNP	49	61	['O']	[None]	[None]	[None]
11	15314659	15314659_0	0	250	for	IN	62	65	['O']	[None]	[None]	[None]
12	15314659	15314659_0	0	250	Autoimmunity	NNP	66	78	['O']	[None]	[None]	[None]
13	15314659	15314659_0	0	250	Described	NNP	79	88	['O']	[None]	[None]	[None]
14	15314659	15314659_0	0	250	in	IN	89	91	['O']	[None]	[None]	[None]
15	15314659	15314659_0	0	250	Gene	NNP	92	96	['O']	[None]	[None]	[None]
16	15314659	15314659_0	0	250	-	:	96	97	['O']	[None]	[None]	[None]
17	15314659	15314659_0	0	250	Targeted	VBN	97	105	['O']	[None]	[None]	[None]
18	15314659	15314659_0	0	250	Mice	NNP	106	110	['O']	[None]	[None]	[None]
19	15314659	15314659_0	0	250	Abstract	NNP	112	120	['O']	[None]	[None]	[None]
