GO_BP_2016_02_16_Instance_140000,"[['3600'], ['3616'], 'passage of water', 'GO:0006833', 'water transport', '16121255_24']"
GO_BP_2016_02_16_Instance_150002,"[['3600', '3617', '3636'], ['3607', '3624', '3644'], 'passage ... through ... membrane', 'GO:0055085', 'transmembrane transport', '16121255_24']"
GO_BP_2016_02_16_Instance_170470,"[['81'], ['92'], 'nephrogenic', 'GO:0001822', 'kidney development', '16121255_0']"
GO_BP_2016_02_16_Instance_170474,"[['239'], ['250'], 'nephrogenic', 'GO:0001822', 'kidney development', '16121255_1']"
GO_BP_2016_02_16_Instance_170480,"[['1088'], ['1099'], 'nephrogenic', 'GO:0001822', 'kidney development', '16121255_6']"
GO_BP_2016_02_16_Instance_170482,"[['1482'], ['1493'], 'Nephrogenic', 'GO:0001822', 'kidney development', '16121255_9']"
GO_BP_2016_02_16_Instance_170492,"[['3072'], ['3083'], 'Nephrogenic', 'GO:0001822', 'kidney development', '16121255_21']"
GO_BP_2016_02_16_Instance_170496,"[['3728', '3758', '3765'], ['3746', '3760', '3771'], 'water reabsorption ... in ... kidney', 'GO:0070295', 'renal water absorption', '16121255_24']"
GO_BP_2016_02_16_Instance_180008,"[['5045'], ['5051'], 'folded', 'GO:0006457', 'protein folding', '16121255_31']"
GO_BP_2016_02_16_Instance_180014,"[['5995'], ['6006'], 'nephrogenic', 'GO:0001822', 'kidney development', '16121255_40']"
GO_BP_2016_02_16_Instance_180064,"[['17075'], ['17084'], 'expressed', 'GO:0010467', 'gene expression', '16121255_120']"
GO_BP_2016_02_16_Instance_180066,"[['18928'], ['18939'], 'transfected', 'GO:0009294', 'DNA mediated transformation', '16121255_133']"
GO_BP_2016_02_16_Instance_180078,"[['22950', '22984'], ['22962', '22991'], 'transport of ... protein', 'GO:0015031', 'protein transport', '16121255_161']"
GO_BP_2016_02_16_Instance_180080,"[['23074'], ['23081'], 'folding', 'GO:0006457', 'protein folding', '16121255_161']"
GO_BP_2016_02_16_Instance_180084,"[['24659'], ['24668'], 'expressed', 'GO:0010467', 'gene expression', '16121255_173']"
GO_BP_2016_02_16_Instance_180090,"[['25662'], ['25669'], 'folding', 'GO:0006457', 'protein folding', '16121255_178']"
GO_BP_2016_02_16_Instance_180096,"[['35913'], ['35924'], 'nephrogenic', 'GO:0001822', 'kidney development', '16121255_256']"
GO_BP_2016_02_16_Instance_180102,"[['40107'], ['40118'], 'transfected', 'GO:0009294', 'DNA mediated transformation', '16121255_293']"
GO_BP_2016_02_16_Instance_230688,"[['41317'], ['41327'], 'expressing', 'GO:0010467', 'gene expression', '16121255_303']"
GO_BP_2016_02_16_Instance_23525,"[['21382'], ['21400'], 'water transporting', 'GO:0006833', 'water transport', '16121255_152']"
GO_BP_2016_02_16_Instance_23527,"[['23130'], ['23148'], 'water transporting', 'GO:0006833', 'water transport', '16121255_161']"
