GO_CC_2016_02_16_Instance_100124,"[['25923'], ['25931'], 'cortical', 'GO:0005938', 'cell cortex', '16433929_163']"
GO_CC_2016_02_16_Instance_100126,"[['25997'], ['26013'], 'cortical granule', 'GO:0060473', 'cortical granule', '16433929_163']"
GO_CC_2016_02_16_Instance_100128,"[['26101'], ['26116'], 'meiotic spindle', 'GO:0072687', 'meiotic spindle', '16433929_164']"
GO_CC_2016_02_16_test_Instance_10355,"[['2772'], ['2783'], 'cytoplasmic', 'GO:0005737', 'cytoplasm', '16433929_15']"
GO_CC_2016_02_16_test_Instance_20961,"[['25658'], ['25669'], 'cytoplasmic', 'GO:0005737', 'cytoplasm', '16433929_161']"
GO_CC_2016_02_16_test_Instance_31277,"[['3368'], ['3376'], 'membrane', 'GO:0016020', 'membrane', '16433929_17']"
GO_CC_2016_02_16_test_Instance_31279,"[['3411'], ['3423'], 'cytoskeleton', 'GO:0005856', 'cytoskeleton', '16433929_17']"
GO_CC_2016_02_16_test_Instance_31283,"[['5390'], ['5405'], 'focal adhesions', 'GO:0005925', 'focal adhesion', '16433929_27']"
GO_CC_2016_02_16_test_Instance_31287,"[['25697'], ['25705'], 'acrosome', 'GO:0001669', 'acrosomal vesicle', '16433929_161']"
GO_CC_2016_02_16_test_Instance_31289,"[['25842'], ['25850'], 'acrosome', 'GO:0001669', 'acrosomal vesicle', '16433929_163']"
GO_CC_2016_02_16_test_Instance_31291,"[['25932'], ['25940'], 'membrane', 'GO:0016020', 'membrane', '16433929_163']"
